text,is_dark,category
Your subscription receipt is ready to view.,0,none
We will text you when the table is free.,0,none
The recipe pairs well with a green salad.,0,none
Your settings sync across devices.,0,none
The workshop provides all materials.,0,none
You can preview the file before downloading.,0,none
The shop offers gift wrapping on request.,0,none
Your call has been added to our queue.,0,none
This price is only good for the next hour.,1,urgency
Checkout now before your session times out.,1,urgency
The countdown ends and the offer disappears.,1,urgency
Reserve your spot before the clock hits zero.,1,urgency
Today is the final day to claim this rate.,1,urgency
"Hurry, the flash sale wraps up soon.",1,urgency
Your cart is held for ten more minutes.,1,urgency
Grab it now or pay more later.,1,urgency
The early bird price ends tonight.,1,urgency
Only minutes left to lock in this deal.,1,urgency
"Decide quickly, this window is closing.",1,urgency
The promo code stops working at midnight.,1,urgency
Secure your seat before time runs out.,1,urgency
This bonus vanishes when the timer ends.,1,urgency
"Last chance, the sale closes in an hour.",1,urgency
Act before the deadline or lose the discount.,1,urgency
The price goes back up after today.,1,urgency
"Be quick, slots are filling by the minute.",1,urgency
Your reserved rate expires very soon.,1,urgency
"Finish now, the offer will not wait.",1,urgency
Time is almost up to redeem this coupon.,1,urgency
Buy within the hour to keep this price.,1,urgency
The deal resets at the top of the hour.,1,urgency
Move fast before this opportunity ends.,1,urgency
Claim it before the sale clock expires.,1,urgency
The discount drops off in a few minutes.,1,urgency
Order today or miss the holiday cutoff.,1,urgency
This rate is locked only until midnight.,1,urgency
Snap it up before the countdown finishes.,1,urgency
The timer is ticking on your savings.,1,urgency
"Confirm now, the price changes overnight.",1,urgency
You have one hour left at this rate.,1,urgency
The sale ends the moment the clock stops.,1,urgency
Reserve before the offer slips away.,1,urgency
"Quick, this deal expires while you wait.",1,urgency
Lock it in now before prices climb.,1,urgency
The final hours of the sale are here.,1,urgency
Hurry before this chance is gone for good.,1,urgency
"No thanks, I like overpaying.",1,guilt_wording
I would rather miss out on the savings.,1,guilt_wording
"No, I do not care about my security.",1,guilt_wording
"Skip the discount, I enjoy paying full price.",1,guilt_wording
"No thanks, I prefer the slow option.",1,guilt_wording
I do not want to keep my data safe.,1,guilt_wording
"No, protecting my order is not important to me.",1,guilt_wording
I will pass and regret it later.,1,guilt_wording
"No thanks, I do not need to save money.",1,guilt_wording
I would rather not get the best deal.,1,guilt_wording
"No, I am fine wasting my time.",1,guilt_wording
I do not want exclusive member perks.,1,guilt_wording
"No thanks, deals are not for me.",1,guilt_wording
I prefer to leave money on the table.,1,guilt_wording
"No, I do not mind paying more.",1,guilt_wording
"Skip it, I do not deserve a discount.",1,guilt_wording
"No thanks, I enjoy missing great offers.",1,guilt_wording
I would rather stay uninformed.,1,guilt_wording
"No, I do not want to be smart with money.",1,guilt_wording
I will decline and lose my rewards.,1,guilt_wording
"No thanks, I do not value my own time.",1,guilt_wording
I do not care to protect my purchase.,1,guilt_wording
"No, saving is not something I want.",1,guilt_wording
I would rather pay the higher price.,1,guilt_wording
"No thanks, I do not want to be healthy.",1,guilt_wording
"Skip the offer, I am happy missing out.",1,guilt_wording
"No, I do not want a better experience.",1,guilt_wording
I will give up my discount on purpose.,1,guilt_wording
"No thanks, I do not need any help.",1,guilt_wording
I prefer to ignore good advice.,1,guilt_wording
"No, I do not want to keep my streak.",1,guilt_wording
I would rather not save for my future.,1,guilt_wording
We are nearly out of this item.,1,scarcity
Only a couple remain at this price.,1,scarcity
Stock is extremely limited right now.,1,scarcity
Just a few units are left in our warehouse.,1,scarcity
This size is almost gone.,1,scarcity
Supplies are running very low.,1,scarcity
We have a handful left in this color.,1,scarcity
Inventory is down to the last pieces.,1,scarcity
Hardly any tickets remain for this show.,1,scarcity
There are only two rooms still open.,1,scarcity
This bundle is in short supply.,1,scarcity
We may sell out before the day ends.,1,scarcity
Quantities are limited to what is on hand.,1,scarcity
Only a small batch was made.,1,scarcity
The shelves are nearly empty for this model.,1,scarcity
Few seats are still available for the class.,1,scarcity
This edition is down to its final copies.,1,scarcity
We are running out faster than expected.,1,scarcity
Limited stock means it could go any moment.,1,scarcity
Only one remains in your selected size.,1,scarcity
Spaces are scarce for this session.,1,scarcity
This deal has very limited availability.,1,scarcity
Thousands of shoppers picked this already.,1,social_proof
Most buyers choose this exact bundle.,1,social_proof
Over a million users trust our app.,1,social_proof
Nine in ten reviewers recommend it.,1,social_proof
This is the favorite among our customers.,1,social_proof
People in your area are buying this now.,1,social_proof
Joined by countless happy members.,1,social_proof
Our community rates this five stars.,1,social_proof
Everyone seems to be getting this one.,1,social_proof
The crowd favorite is selling everywhere.,1,social_proof
Loved by readers around the world.,1,social_proof
Top pick according to our shoppers.,1,social_proof
Hundreds reserved this in the past day.,1,social_proof
Most people upgrade to this plan.,1,social_proof
Customers like you bought this together.,1,social_proof
Voted the number one choice by users.,1,social_proof
Trusted by families everywhere.,1,social_proof
The popular option among first time buyers.,1,social_proof
So many people are switching to this.,1,social_proof
Recommended by the majority of our users.,1,social_proof
A best seller chosen by the crowd.,1,social_proof
Others viewing this also added it to cart.,1,social_proof
Your plan upgrades automatically unless you opt out.,1,other
A service fee was added to your total.,1,other
We enrolled you in auto renewal by default.,1,other
Insurance was included in your cart for you.,1,other
To cancel you must mail a written request.,1,other
By proceeding you accept all optional add ons.,1,other
A small donation was added at checkout.,1,other
Your trial converts to a paid plan on its own.,1,other
We selected the premium shipping for you.,1,other
Unsubscribing requires calling during office hours.,1,other
The membership continues until you phone us.,1,other
We pre checked the warranty option for you.,1,other
Closing your account can only be done by mail.,1,other
A handling charge appears at the final step.,1,other
You agreed to share data with our partners.,1,other
The gift wrap fee was applied automatically.,1,other
We added a magazine subscription to your order.,1,other
Opting out needs a separate written notice.,1,other
Your card will be charged again next cycle by default.,1,other
We bundled an extra item you did not select.,1,other
Removing this add on requires contacting support.,1,other
The recurring fee starts after the free period.,1,other
